Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","115","Cambodge","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","20451","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","32","Cameroun","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","2352","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","33","Canada","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","476649","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","40","Chili","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","243825","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","351","Chine","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","3038692","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","96","Chine - RAS de Hong-Kong","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","1588521","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","128","Chine - RAS de Macao","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","88788","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","41","Chine, continentale","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","1140695","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","214","Chine, Taiwan Province de","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","220688","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","50","Chypre","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","46649","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","44","Colombie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","95640","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","45","Comores","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","18072","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","46","Congo","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","113229","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","48","Costa Rica","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","28882","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","107","Côte d'Ivoire","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","2228","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","98","Croatie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","86487","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","49","Cuba","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","317546","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","54","Danemark","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","372362","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","72","Djibouti","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","4911","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","55","Dominique","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","7064","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","59","Égypte","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","82719","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","60","El Salvador","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","39515","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","225","Émirats arabes unis","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","836578","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","58","Équateur","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","550","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","178","Érythrée","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","154","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
