Zone,Différences_populations,Protéines_animales_pourcent,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),cluster
Afghanistan,2.4,19.0,2040.0,55.52,4
Afrique du Sud,1.4000000000000001,43.0,2899.0,84.37,2
Albanie,-0.0,53.0,3360.0,115.74,3
Algérie,2.0,27.0,3322.0,91.83,2
Allemagne,0.6,61.0,3554.0,105.4,3
Angola,3.3000000000000003,31.0,2385.0,53.05,4
Antigua-et-Barbuda,1.0999999999999999,65.0,2445.0,80.19,1
Arabie saoudite,1.7999999999999998,38.0,3307.0,86.94,2
Argentine,1.0,65.0,3307.0,106.77,3
Arménie,0.2,48.0,2997.0,94.35,1
Australie,1.3,67.0,3391.0,105.94,3
Autriche,0.8,60.0,3695.0,109.12,3
Azerbaïdjan,1.0999999999999999,34.0,3149.0,94.42,2
Bahamas,1.0,65.0,2655.0,80.69,1
Bangladesh,1.0999999999999999,21.0,2563.0,60.73,0
Barbade,0.3,57.99999999999999,2956.0,88.69,1
Belgique,0.5,59.0,3769.0,99.87,3
Belize,1.9,43.0,2775.0,71.93,0
Bolivie (État plurinational de),1.4000000000000001,48.0,2412.0,73.24,0
Bosnie-Herzégovine,-0.8,37.0,3307.0,98.82,1
Botswana,2.1999999999999997,43.0,2342.0,65.89,0
Brésil,0.8,56.00000000000001,3301.0,95.68,3
Bulgarie,-0.7000000000000001,50.0,2854.0,83.26,1
Burkina Faso,2.9000000000000004,14.000000000000002,2737.0,80.16,4
Bélarus,0.0,56.99999999999999,3270.0,91.95,1
Bénin,2.8000000000000003,19.0,2755.0,63.97,4
Cabo Verde,1.3,37.0,2541.0,70.86,0
Cambodge,1.5,28.999999999999996,2492.0,65.95,0
Cameroun,2.6,16.0,2733.0,71.89,4
Canada,0.8999999999999999,54.0,3566.0,104.12,3
Chili,1.4000000000000001,54.0,3029.0,91.64,1
Chine,0.5,40.0,3191.0,100.63,2
Chypre,0.8,50.0,3019.0,91.67,1
Colombie,1.5,51.0,3114.0,72.92,1
Congo,2.6,45.0,2285.0,58.16,0
Costa Rica,1.0,56.00000000000001,3029.0,82.42,1
Croatie,-0.6,61.0,3074.0,90.6,1
Cuba,-0.0,41.0,3344.0,84.89,1
Côte d'Ivoire,2.6,25.0,2778.0,57.61,4
Danemark,0.3,68.0,3401.0,117.08,3
Djibouti,1.6,21.0,2694.0,65.75,0
Dominique,1.4000000000000001,56.00000000000001,2952.0,79.08,1
El Salvador,0.5,35.0,2696.0,77.03,0
Espagne,0.1,62.0,3322.0,107.55,3
Estonie,0.3,62.0,3247.0,105.38,3
Eswatini,1.0,28.000000000000004,2426.0,62.07,0
Fidji,0.7000000000000001,40.0,2781.0,71.14,0
Finlande,0.2,64.0,3343.0,117.99,3
Fédération de Russie,0.1,55.00000000000001,3345.0,101.4,3
Gabon,2.6,47.0,2633.0,79.18,0
Gambie,3.0,26.0,2533.0,65.81,4
Ghana,2.1999999999999997,25.0,3035.0,61.6,0
Grenade,0.0,56.99999999999999,2402.0,71.32,1
Grèce,-0.4,56.00000000000001,3382.0,108.16,3
Guatemala,2.0,32.0,2551.0,68.99,0
Guinée,2.9000000000000004,20.0,2746.0,57.4,4
Guinée-Bissau,2.5,21.0,2229.0,43.27,4
Guyana,0.5,41.0,2913.0,86.51,1
Géorgie,-0.1,41.0,2835.0,76.77,1
Haïti,1.3,21.0,2121.0,49.62,4
Honduras,1.7000000000000002,35.0,2673.0,62.95,0
Hongrie,-0.2,56.99999999999999,3316.0,89.64,1
Inde,1.0,24.0,2533.0,63.35,0
Indonésie,1.0999999999999999,32.0,2884.0,67.34,0
Iran (République islamique d'),1.4000000000000001,28.999999999999996,3087.0,85.73,2
Iraq,2.3,22.0,2608.0,65.53,4
Irlande,1.4000000000000001,61.0,3885.0,117.58,3
Islande,0.8999999999999999,72.0,3654.0,146.13,3
Israël,1.7000000000000002,59.0,3528.0,126.94,3
Italie,-0.1,53.0,3503.0,106.56,3
Jamaïque,0.5,49.0,2792.0,75.95,1
Japon,-0.2,56.00000000000001,2705.0,87.36,1
Jordanie,1.7999999999999998,34.0,2732.0,69.21,0
Kazakhstan,1.3,60.0,3067.0,91.49,1
Kenya,2.3,24.0,2197.0,61.75,4
Kirghizistan,1.7999999999999998,40.0,2729.0,84.41,0
Kiribati,1.7999999999999998,49.0,3078.0,73.57,0
Koweït,2.0,49.0,3471.0,103.21,2
Lesotho,0.8,28.999999999999996,2323.0,66.7,0
Lettonie,-1.2,61.0,3229.0,102.72,3
Liban,0.6,32.0,2857.0,69.15,0
Libéria,2.5,27.0,2168.0,42.78,4
Lituanie,-1.5,62.0,3411.0,126.65,3
Luxembourg,2.0,62.0,3465.0,108.65,3
Macédoine du Nord,0.0,43.0,3072.0,84.49,1
Madagascar,2.7,21.0,1938.0,44.17,4
Malaisie,1.4000000000000001,56.00000000000001,2845.0,77.45,1
Malawi,2.7,14.000000000000002,2392.0,67.07,4
Maldives,4.0,60.0,2235.0,81.29,0
Mali,3.1,27.0,2873.0,83.59,0
Malte,0.2,56.99999999999999,3420.0,116.4,3
Maroc,1.3,27.0,3412.0,101.08,2
Maurice,0.2,46.0,3051.0,88.93,1
Mauritanie,2.8000000000000003,36.0,2877.0,82.12,0
Mexique,1.0999999999999999,49.0,3157.0,91.5,2
Mongolie,1.7999999999999998,65.0,2579.0,87.31,1
Monténégro,0.0,61.0,3500.0,114.53,3
Mozambique,3.0,19.0,2103.0,42.41,4
Myanmar,0.6,46.0,2673.0,90.64,1
Namibie,1.9,35.0,2469.0,65.78,0
Nicaragua,1.3,31.0,2582.0,63.53,0
Niger,3.9,14.000000000000002,2570.0,82.6,4
Nigéria,2.6,13.0,2572.0,58.62,4
Norvège,0.8,60.0,3371.0,113.43,3
Nouvelle-Calédonie,1.0999999999999999,57.99999999999999,2825.0,84.66,1
Nouvelle-Zélande,0.8999999999999999,55.00000000000001,3191.0,94.01,1
Népal,1.7000000000000002,19.0,2769.0,74.34,0
Oman,3.5000000000000004,49.0,2940.0,85.36,0
Ouganda,3.8,26.0,1981.0,46.94,4
Ouzbékistan,1.6,38.0,3011.0,93.27,2
Pakistan,2.1,40.0,2486.0,67.0,0
Panama,1.7000000000000002,53.0,2851.0,80.38,1
Paraguay,1.3,40.0,2768.0,69.4,0
Pays-Bas,0.2,65.0,3297.0,106.69,3
Philippines,1.4000000000000001,42.0,2662.0,62.54,0
Pologne,-0.1,55.00000000000001,3537.0,105.59,3
Polynésie française,0.7000000000000001,66.0,2910.0,96.28,1
Portugal,-0.3,64.0,3480.0,116.95,3
Pérou,1.7000000000000002,38.0,2775.0,77.81,0
Roumanie,-0.8,49.0,3581.0,109.24,3
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.6,56.00000000000001,3344.0,103.92,3
Rwanda,2.7,14.000000000000002,2188.0,59.13,4
République centrafricaine,1.5,44.0,1786.0,44.58,4
République de Corée,0.1,52.0,3420.0,100.18,3
République de Moldova,-0.2,49.0,2383.0,61.64,1
République dominicaine,1.0999999999999999,50.0,2892.0,66.31,1
République démocratique populaire lao,1.6,24.0,2758.0,76.93,0
République populaire démocratique de Corée,0.5,19.0,2019.0,53.34,4
République-Unie de Tanzanie,3.0,21.0,2373.0,58.93,4
Saint-Kitts-et-Nevis,0.0,64.0,2582.0,77.05,1
Saint-Vincent-et-les Grenadines,0.0,56.00000000000001,2968.0,90.18,1
Sainte-Lucie,0.6,62.0,2618.0,85.82,1
Samoa,0.5,59.0,3030.0,87.85,1
Sao Tomé-et-Principe,1.9,30.0,2446.0,54.53,4
Serbie,-0.3,50.0,2828.0,84.36,1
Sierra Leone,2.1999999999999997,22.0,2369.0,51.02,4
Slovaquie,0.1,53.0,2871.0,70.57,1
Slovénie,0.1,53.0,3191.0,96.38,1
Soudan,2.4,28.000000000000004,2578.0,72.98,0
Sri Lanka,0.5,27.0,2737.0,65.23,0
Suisse,0.8,63.0,3354.0,95.47,3
Suriname,1.0999999999999999,41.0,2698.0,60.73,0
Suède,0.7000000000000001,64.0,3184.0,105.56,3
Sénégal,2.8000000000000003,22.0,2545.0,62.36,4
Tadjikistan,2.5,23.0,2109.0,54.25,4
Tchad,3.1,17.0,2115.0,61.51,4
Tchéquie,0.2,61.0,3277.0,86.98,1
Thaïlande,0.3,43.0,2804.0,63.36,1
Timor-Leste,2.0,28.999999999999996,2287.0,58.02,4
Togo,2.5,15.0,2443.0,58.47,4
Trinité-et-Tobago,0.4,52.0,2991.0,85.58,1
Tunisie,1.2,28.999999999999996,3450.0,99.82,2
Turkménistan,1.6,40.0,2830.0,88.62,2
Turquie,1.5,36.0,3711.0,110.68,2
Ukraine,-0.5,44.0,3102.0,86.45,1
Uruguay,0.3,53.0,3202.0,86.5,1
Vanuatu,2.4,43.0,2607.0,63.95,0
Venezuela (République bolivarienne du),-1.7999999999999998,45.0,2120.0,54.17,1
Viet Nam,1.0,40.0,3025.0,98.58,2
Yémen,2.4,19.0,2154.0,54.52,4
Zambie,3.0,23.0,2002.0,60.53,4
Zimbabwe,1.4000000000000001,26.0,1908.0,44.15,4
Égypte,2.1,27.0,3292.0,97.52,2
Émirats arabes unis,1.5,46.0,3314.0,110.26,2
Équateur,1.7999999999999998,47.0,2606.0,65.96,0
États-Unis d'Amérique,0.6,65.0,3782.0,113.74,3
Éthiopie,2.7,10.0,2338.0,66.33,4
Îles Salomon,2.7,28.999999999999996,2415.0,53.14,4
