Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QL","Élevage primaire","2","Afghanistan","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","29073","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","202","Afrique du Sud","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","1761847","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","3","Albanie","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","15587","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","4","Algérie","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","285955","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","79","Allemagne","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","1530127","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","7","Angola","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","41367","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","8","Antigua-et-Barbuda","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","32","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","194","Arabie saoudite","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","710309","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","9","Argentine","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","2114787","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","1","Arménie","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","12300","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","10","Australie","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","1232411","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","11","Autriche","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","124240","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","52","Azerbaïdjan","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","109121","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","12","Bahamas","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","6262","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","13","Bahreïn","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","9041","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","16","Bangladesh","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","255423","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","14","Barbade","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","16647","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","57","Bélarus","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","471742","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","255","Belgique","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","469550","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","23","Belize","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","19924","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","53","Bénin","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","14561","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","18","Bhoutan","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","1806","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","19","Bolivie (État plurinational de)","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","485446","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","80","Bosnie-Herzégovine","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","61926","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","20","Botswana","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","3060","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","21","Brésil","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","14112778","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","26","Brunéi Darussalam","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","25557","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","27","Bulgarie","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","110846","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","233","Burkina Faso","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","42433","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","29","Burundi","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","8653","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","35","Cabo Verde","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","985","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","115","Cambodge","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","27754","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","32","Cameroun","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","79608","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","33","Canada","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","1478415","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","40","Chili","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","762318","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","351","Chine","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","20766630","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","96","Chine - RAS de Hong-Kong","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","22472","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","128","Chine - RAS de Macao","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","3467","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","41","Chine, continentale","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","20044863","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","214","Chine, Taiwan Province de","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","695828","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","50","Chypre","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","25420","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","44","Colombie","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","1629659","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","45","Comores","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","588","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","46","Congo","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","6814","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","48","Costa Rica","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","135500","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","107","Côte d'Ivoire","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","51153","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","98","Croatie","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","52600","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","49","Cuba","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","27427","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","54","Danemark","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","147634","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QL","Élevage primaire","55","Dominique","5510","Production","1808","Viande de Volaille","2018","2018","tonnes","361","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
