"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Aruba,""ABW"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""86.4764241744759"",""88.699785031557"",""86.245250129459"",""83.6428420448712"",""84.6355644478745"",""70.6728532748071"",""68.5481524585394"",""69.3812949640288"",""70.8678828081813"",""68.5635497618451"",""77.9482262703739"",""78.110599078341"",""76.7998290963469"",""78.1847781847782"",""76.2799016320143"",""77.5648516008413"",""83.7861524978089"",""82.4333259863346"",""86.9727047146402"",""85.010101010101"",""74.1484883275928"",""70.8419664720286"",""71.6322427344178"","""","""","""","
"Afghanistan,""AFG"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"",""7.02479336623182"",""8.09716629841498"",""9.34959330590257"",""16.8639103340214"",""18.0555553858025"",""21.4128034842526"",""18.571428537415"",""14.2098270385479"",""15.2103564269331"",""14.9842272480072"",""11.9441077843955"",""16.1407951985264"",""18.1058497936081"",""14.7435907141683"",""14.8453612226592"",""14.2723007777117"",""14.8695654136106"",""14.8231754979077"",""13.8720537510231"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Angola,""AGO"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""62.8612782697202"",""74.946850958953"",""48.2167466955221"",""49.5798894342136"",""45.1995788304369"",""41.0646943598961"",""31.1572958281252"",""40.1542845215112"",""48.8896794334592"",""63.6888393251959"",""42.5805172359653"",""39.3125594147723"",""35.8599672014052"",""36.0648463922967"",""34.6378962589621"",""33.1339212916755"",""25.2456707179877"",""23.2527213968366"",""25.5417220484722"",""28.2934139960246"","""","
"Albanie,""ALB"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""23.5366005935177"",""22.2899596239822"",""24.7376437022741"",""21.558592462639"",""20.075351594758"",""19.1144514025886"",""16.0311247475208"",""16.1296420781227"",""19.9184766016104"",""21.4727330022325"",""24.0318995737727"",""28.5857013386048"",""96.2858807479086"",""64.5395029570264"",""41.1188903879182"",""34.9697653759195"",""33.2749998482171"",""35.2283310149598"",""36.6702827224881"",""34.1693357010258"",""43.3388742463348"",""45.1576071302733"",""47.5794801481102"",""46.1731851587618"",""44.8295956019039"",""47.8593145289499"",""49.0574975155692"",""54.9541941704504"",""52.1493004309663"",""49.8541244540949"",""48.5639609301559"",""51.9770478184596"",""47.5726873138455"",""46.9574279195704"",""47.1948552195373"",""44.533646824669"",""45.8319571961061"",""46.6244544392929"",""45.2643136168563"",""45.3359427778079"","""","
"Andorre,""AND"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Le monde arabe,""ARB"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""",""21.7115966354605"",""20.5038751034317"",""20.8563317481199"",""23.7275608392334"",""23.919541751257"",""31.0314734916689"",""31.030915251516"",""36.6383923835479"",""38.0570976253913"",""35.1477252005771"",""34.2091459706028"",""39.2619758894586"",""42.4937217377811"",""40.2805994787686"",""38.6472506910018"",""34.3878373603507"",""32.1636378052269"",""31.1695927029183"",""32.6072712127612"",""36.1079540752018"",""33.7175525560578"",""40.0261572197415"",""33.6346475793182"",""31.6776862040343"",""29.1948489997459"",""30.3237979908329"",""28.7847948129837"",""30.8260376464839"",""33.1488283398128"",""30.0098477789678"",""28.2620137783513"",""31.660981471682"",""32.2363925207497"",""34.4435712145013"",""36.2051198696504"",""36.446539226132"",""35.8385152051304"",""39.7214280002036"",""40.8650148436361"",""42.4611738407773"",""38.1324465627209"",""37.0246836855507"",""37.5631173341154"",""39.7664196797678"",""42.2427552110577"",""44.6818893878399"",""41.7820753770201"",""41.6456811620987"",""39.2449456734486"",""39.6131444483163"","""","
"Émirats arabes unis,""ARE"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""40.7053546013305"",""43.5683114306968"",""46.3769702756087"",""53.0548827099662"",""51.9675602523703"",""50.8428719062721"",""64.4140553654625"",""69.6456553241827"",""73.8086264961866"",""61.6351137521095"",""61.5893823753457"",""64.0028523992429"",""64.7281648949165"",""68.9314775001503"",""74.3508273325776"",""75.7446341195563"",""75.4094120296224"",""66.6806507430916"",""68.4798395481877"","""","
"Argentine,""ARG"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"",""7.60404697912324"",""5.99494531619397"",""9.38368289056535"",""7.89045203275027"",""5.56371407476368"",""4.15058297228058"",""4.98968803354159"",""4.99706414666865"",""5.40371142251908"",""6.3987133165299"",""4.73587740491927"",""6.60795603425504"",""6.837877358188"",""5.70950079036544"",""6.28900906002225"",""5.97867249611964"",""5.92149632801213"",""7.32639415527493"",""5.71540643432856"",""6.32976917431398"",""6.48369977949523"",""7.37192799858578"",""6.52099302139343"",""5.83614942003836"",""4.75648611743286"",""6.27332704995287"",""6.32405524784407"",""7.57576406955165"",""6.21184563577101"",""6.57938879331971"",""4.63132240741775"",""6.07801081056698"",""8.13279311431564"",""9.31379991407563"",""10.6043971410814"",""10.0910128307854"",""11.0778716497076"",""12.7753287418177"",""12.934446011977"",""11.5555704475475"",""11.6360695451767"",""10.2732473690136"",""13.370127359396"",""14.7138051046861"",""16.8450266849578"",""17.3053942367662"",""17.4067852681036"",""18.2824203070644"",""18.341772996414"",""14.4961418494061"",""16.0371898581987"",""16.7569458546489"",""14.2886829096862"",""14.7167556136651"",""14.0013150558519"",""11.7805740385254"",""13.5667926798789"",""13.9693177779166"",""16.5551102873186"",""15.1879398225167"","""","
"Arménie,""ARM"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""46.3327370304114"",""60.1204668088844"",""61.2560043844096"",""60.7541704101782"",""73.1013252499359"",""62.1869362383961"",""55.989556615586"",""58.2744756657506"",""52.8394319098677"",""49.8022321913836"",""50.0719114183969"",""45.7184119969031"",""46.152393477237"",""49.5683697098445"",""44.8798901687648"",""42.8265406335218"",""38.8841565463432"",""38.7856901033422"",""40.2765983873899"",""42.6033349980631"",""44.8945606568078"",""46.9123853980322"",""48.3998644778265"",""49.2015630214006"",""47.2184853070945"",""41.9566831307241"",""42.3336875987152"",""48.9863308847905"",""53.0802129926047"",""54.5482128048479"","""","
"Samoa américaines,""ASM"",""Importations de biens et de services (% du PIB)"",""NE.IMP.GNFS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""108.75486381323"",""108.349146110057"",""110.7421875"",""122.0675944334"",""127.822580645161"",""119.423076923077"",""133.92539964476"",""82.0058997050148"",""93.2291666666667"",""97.3867595818815"",""99.8447204968944"",""100"",""105.763239875389"",""99.5461422087746"",""97.3926380368098"",""102.325581395349"",""99.3710691823899"","""","""","
