Zone,Différences_populations,Protéines_animales_pourcent,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),cluster
Bosnie-Herzégovine,-0.8,37.0,3307.0,98.82,1
Brésil,0.8,56.00000000000001,3301.0,95.68,1
Fédération de Russie,0.1,55.00000000000001,3345.0,101.4,1
Lettonie,-1.2,61.0,3229.0,102.72,1
Nouvelle-Zélande,0.8999999999999999,55.00000000000001,3191.0,94.01,1
République de Corée,0.1,52.0,3420.0,100.18,1
Suisse,0.8,63.0,3354.0,95.47,1
