Code Domaine,Domaine,Code zone,Zone,Code de devise ISO,Devise,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"PE","Taux de change - Annuels","61","Guinée équatoriale","XAF","CFA Franc BEAC","5540","Unités de monnaie locale standardisée par USD","2018","2018","","555.4465","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","175","Guinée-Bissau","XOF","CFA Franc BCEAO","5540","Unités de monnaie locale standardisée par USD","2018","2018","","555.4465","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","91","Guyana","GYD","Guyana Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","207.7167","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","93","Haïti","HTG","Gourde","5540","Unités de monnaie locale standardisée par USD","2018","2018","","68.0318","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","95","Honduras","HNL","Lempira","5540","Unités de monnaie locale standardisée par USD","2018","2018","","23.9027","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","97","Hongrie","HUF","Forint","5540","Unités de monnaie locale standardisée par USD","2018","2018","","270.2117","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","36","Îles Caïmanes","KYD","Cayman Islands Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8333","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","47","Îles Cook","NZD","New Zealand Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.4453","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","127","Îles Marshall","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","25","Îles Salomon","SBD","Solomon Islands Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","7.9525","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","224","Îles Turques-et-Caïques","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","239","Îles Vierges britanniques","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","100","Inde","INR","Indian Rupee","5540","Unités de monnaie locale standardisée par USD","2018","2018","","68.3978","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","101","Indonésie","IDR","Rupiah","5540","Unités de monnaie locale standardisée par USD","2018","2018","","14236.9388","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","102","Iran (République islamique d')","IRR","Iranian Rial","5540","Unités de monnaie locale standardisée par USD","2018","2018","","40864.329","X","Sources internationales sûres","Data from UNSD AMA"
